dataset,model,fold,test_targets,n,positive_rate_true,roc_auc,pr_auc,accuracy,balanced_accuracy,f1,mcc
dc50,random_forest,0,VAV1,816,0.9032,0.3499,0.8627,0.864,0.4839,0.9269,-0.0475
dc50,random_forest,1,ARNT;CDK2;CDK4;CSNK1A1,733,0.8568,0.8945,0.9824,0.8731,0.5571,0.9311,0.3155
dc50,random_forest,2,AR;CCNK;IKZF1;IKZF3;SMARCA4,471,0.276,0.9518,0.9088,0.9236,0.8901,0.8548,0.8049
dc50,random_forest,3,BCL6;BRD4;GSPT1;PTPN1;SALL4;WIZ,546,0.652,0.5966,0.7921,0.6007,0.5834,0.6766,0.1611
dc50,random_forest,4,BRAF;IKZF2;IKZF4;KRAS;NEK7;SMARCA2;VCL,409,0.868,0.8146,0.9638,0.7922,0.8096,0.8678,0.4593
dc50,xgboost,0,VAV1,816,0.9032,0.3963,0.8883,0.8395,0.4873,0.9123,-0.0287
dc50,xgboost,1,ARNT;CDK2;CDK4;CSNK1A1,733,0.8568,0.7255,0.9462,0.8568,0.5278,0.922,0.1421
dc50,xgboost,2,AR;CCNK;IKZF1;IKZF3;SMARCA4,471,0.276,0.9487,0.911,0.9236,0.8949,0.8571,0.8058
dc50,xgboost,3,BCL6;BRD4;GSPT1;PTPN1;SALL4;WIZ,546,0.652,0.6206,0.7909,0.5934,0.5802,0.6667,0.1543
dc50,xgboost,4,BRAF;IKZF2;IKZF4;KRAS;NEK7;SMARCA2;VCL,409,0.868,0.8185,0.965,0.78,0.7869,0.8598,0.4245
dmax,random_forest,0,VAV1,936,0.9028,0.4205,0.9065,0.234,0.5512,0.2706,0.0856
dmax,random_forest,1,IKZF2;IKZF4;SALL4,398,0.7085,0.423,0.6715,0.2915,0.5,0.0,0.0
dmax,random_forest,2,FBXW7;GSPT1;WIZ,225,0.5867,0.8695,0.8897,0.5733,0.6348,0.4353,0.3543
dmax,random_forest,3,CDK2;SMARCA2;SMARCA4;ZBTB11,360,0.2028,0.8399,0.4831,0.65,0.7652,0.5263,0.4276
dmax,random_forest,4,ARNT;CSNK1A1;IKZF1;NEK7;PTPN1;WEE1,176,0.6591,0.571,0.6633,0.3182,0.4667,0.0,-0.212
dmax,xgboost,0,VAV1,936,0.9028,0.6388,0.9437,0.5406,0.623,0.6718,0.1458
dmax,xgboost,1,IKZF2;IKZF4;SALL4,398,0.7085,0.371,0.6437,0.3367,0.4533,0.2707,-0.106
dmax,xgboost,2,FBXW7;GSPT1;WIZ,225,0.5867,0.2451,0.5108,0.3511,0.3898,0.2316,-0.2482
dmax,xgboost,3,CDK2;SMARCA2;SMARCA4;ZBTB11,360,0.2028,0.781,0.4145,0.6611,0.7619,0.5271,0.4214
dmax,xgboost,4,ARNT;CSNK1A1;IKZF1;NEK7;PTPN1;WEE1,176,0.6591,0.628,0.7471,0.483,0.5836,0.4052,0.1946
