target,n,positive_rate,mean_pred_prob,roc_auc,accuracy
VAV1,816,0.9032,0.6236,0.3499,0.864
CSNK1A1,672,0.9196,0.6709,0.8548,0.9196
SMARCA4,357,0.1373,0.2378,0.9169,0.916
GSPT1,350,0.6114,0.5827,0.7899,0.7371
BRAF,159,0.956,0.5956,0.4854,0.956
SMARCA2,125,0.648,0.3452,0.5194,0.424
WIZ,114,0.7719,0.2332,0.5527,0.2281
IKZF2,63,0.9683,0.6568,0.2049,0.9365
KRAS,57,1.0,0.7325,,1.0
IKZF3,56,0.9643,0.664,0.8611,0.9643
CDK4,30,0.0,0.5138,,0.4
IKZF1,29,0.931,0.5967,0.6667,0.931
SALL4,29,0.7241,0.278,0.4018,0.2759
BRD4,27,0.5185,0.3211,0.2967,0.4815
ARNT,21,0.0,0.6014,,0.0
AR,18,0.0,0.3898,,1.0
PTPN1,16,1.0,0.6627,,1.0
CCNK,11,0.0,0.4609,,0.8182
BCL6,10,0.3,0.4034,0.3095,0.7
CDK2,10,1.0,0.7231,,1.0
NEK7,3,1.0,0.6066,,0.6667
IKZF4,1,1.0,0.3814,,0.0
VCL,1,0.0,0.3861,,1.0
