target,n,positive_rate,mean_pred_prob,roc_auc,accuracy
VAV1,936,0.9028,0.4328,0.4205,0.234
IKZF2,394,0.7157,0.3012,0.4095,0.2843
CDK2,163,0.0184,0.4235,0.1344,0.9693
SMARCA2,142,0.493,0.6228,0.5537,0.493
WIZ,115,0.9217,0.4849,0.4932,0.3304
CSNK1A1,80,0.7625,0.317,0.462,0.2375
WEE1,64,0.75,0.3949,0.6061,0.25
FBXW7,59,0.0,0.4037,,1.0
SMARCA4,52,0.0,0.5579,,0.0577
GSPT1,51,0.5098,0.4608,0.6638,0.6275
ARNT,12,0.0,0.2375,,1.0
IKZF1,7,0.0,0.4997,,0.4286
PTPN1,7,1.0,0.2443,,0.0
NEK7,6,0.0,0.2774,,1.0
SALL4,3,0.0,0.1617,,1.0
ZBTB11,3,0.0,0.4467,,1.0
IKZF4,1,0.0,0.3277,,1.0
