compound_id,canonical_smiles,target,target_uniprot,dmax_label,dmax_value_percent,source_patent
PGDB_C029577,C#CCN(C)C(=O)Nc1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C,VAV1,P15498,1,98.9,WO2026051943A1
PGDB_C029500,C#CCN(C)C(=O)Oc1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C,VAV1,P15498,1,97.71,WO2026051943A1
PGDB_C029438,C#Cc1c(-c2ccc(-c3c(C)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,94.13,WO2026051943A1
PGDB_C029472,C#Cc1c(-c2ccc(-c3c(COC)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,93.6,WO2026051943A1
PGDB_C032928,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)cc[nH]c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032908,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033034,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(C4CC4)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032949,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(CC)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033057,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)cc[nH]c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033063,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032958,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(C4CC4)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032927,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(CC)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032962,C#Cc1c(-c2ccc(-n3c(-n4cccn4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,80.0,WO2026145172A1
PGDB_C033008,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1(F)CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032816,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032961,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1[C@@H]1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033074,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1[C@H]1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C029463,C#Cc1c(-c2ccc(-n3c(C(F)F)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,98.77,WO2026051943A1
PGDB_C032842,C#Cc1c(-c2ccc(-n3c(C)c(C)c(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032939,C#Cc1c(-c2ccc(-n3c(C)c(C)c(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032877,C#Cc1c(-c2ccc(-n3c(C)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C029432,C#Cc1c(-c2ccc(-n3c(C)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,95.6,WO2026051943A1
PGDB_C032784,C#Cc1c(-c2ccc(-n3c(C4CC4)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032785,C#Cc1c(-c2ccc(-n3c(C4CC4)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033036,C#Cc1c(-c2ccc(-n3c(C4CCCCC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032880,C#Cc1c(-c2ccc(-n3c(CCC(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032923,C#Cc1c(-c2ccc(-n3c(CCC(F)(F)F)cc(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032851,C#Cc1c(-c2ccc(-n3c(CCC(F)(F)F)cc(OCC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C029445,C#Cc1c(-c2ccc(-n3c(CN(C)C)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,97.6,WO2026051943A1
PGDB_C029433,C#Cc1c(-c2ccc(-n3c(CO)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,94.72,WO2026051943A1
PGDB_C029464,C#Cc1c(-c2ccc(-n3c(COC)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,95.62,WO2026051943A1
PGDB_C032873,C#Cc1c(-c2ccc(-n3c(N4CC5CC5C4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032853,C#Cc1c(-c2ccc(-n3c(N4CCCC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032862,C#Cc1c(-c2ccc(-n3c(N4CCOCC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033015,C#Cc1c(-c2ccc(-n3c(OC4CC(F)(F)C4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C033007,C#Cc1c(-c2ccc(-n3c(OC4CC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032934,C#Cc1c(-c2ccc(-n3c(OC4CC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032950,C#Cc1c(-c2ccc(-n3c(OCC(F)(F)F)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C032971,C#Cc1c(-c2ccc(-n3c(OCCC(F)(F)F)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,80.0,WO2026145172A1
PGDB_C033067,C#Cc1c(-c2ccc(-n3c(O[C@@H]4CCOC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,80.0,WO2026145172A1
PGDB_C032976,C#Cc1c(-c2ccc(-n3c(O[C@@H]4CCOC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C029457,C#Cc1c(-c2ccc(-n3ccccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,88.4,WO2026051943A1
PGDB_C032943,C#Cc1c(OC)cc(=O)n(-c2ccc(-c3cccc(N4CCC(=O)NC4=O)c3Cl)cc2)c1C,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C008702,C=C1CC[C@H](N)[C@@H](Cc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,IKZF1,Q13422,0,29.0,JP2026020265A
PGDB_C008702,C=C1CC[C@H](N)[C@@H](Cc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,IKZF2,Q9UKS7,0,65.0,JP2026020265A
PGDB_C033095,C=C1CC[C@H](N2Cc3c4c(cc(F)c3C2=O)C2(CCN(CC3CCN(c5ccc(C(=O)N[C@H]6CC[C@H](Oc7ccccc7Cl)CC6)cc5F)CC3)CC2)CO4)C(=O)N1,CSNK1A1,P48729,1,90.0,WO2026139085A1
PGDB_C029640,C=C1CN(C(=O)Nc2ccc(-c3cccc(C4CCC(=O)NC4=O)c3Cl)cc2C)C1,VAV1,P15498,1,97.9,WO2026051943A1
PGDB_C019920,C=C1c2cnn(-c3ccccc3)c2N=NN1Cc1cccnc1,FBXW7,Q969H0,0,0.12,WO2019200310A1
PGDB_C033003,CC#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,P15498,1,90.0,WO2026145172A1
PGDB_C000681,CC#Cc1ccc(F)c(NC(=O)OC2CN(c3cc(F)c(N4CCC(=O)NC4=O)c(F)c3)C2)c1,GSPT1,P15170,1,93.1,CN119431327A
PGDB_C024903,CC(=O)N(C)CCn1cc2ccc3cc(-c4cccc(C5CCC(=O)NC5=O)c4Cl)ccc3c2n1,VAV1,P15498,1,91.06,CN121698875A
PGDB_C029548,CC(=O)N(Cc1ccn(C)n1)c1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1,VAV1,P15498,1,94.75,WO2026051943A1
PGDB_C029466,CC(=O)N1CC2CC2c2cc(-c3cccc(C4CCC(=O)NC4=O)c3Cl)ccc21,VAV1,P15498,1,94.93,WO2026051943A1
PGDB_C011202,CC(=O)N1CCC(N[C@H]2CCCC[C@@H]2Cc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,IKZF2,Q9UKS7,1,96.0,JP2026020265A
PGDB_C005455,CC(=O)N1CCC2(CC1)CC(N1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)C2,IKZF2,Q9UKS7,0,50.0,WO2025067466A1
PGDB_C029444,CC(=O)N1CCSc2cc(-c3cccc(C4CCC(=O)NC4=O)c3Cl)ccc21,VAV1,P15498,1,97.3,WO2026051943A1
PGDB_C024870,CC(=O)NCCn1cc2c(n1)-c1ccc(-c3cccc(C4CCC(=O)NC4=O)c3Cl)cc1CC2,VAV1,P15498,1,96.97,CN121698875A
PGDB_C032054,CC(=O)Nc1sc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C1CC1,VAV1,P15498,1,98.0,WO2026119120A1
