dataset,model,split,n,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc
dc50,random_forest,train,2794,0.993,0.9967,0.9445,0.9518,0.986,0.9311,0.9578,0.8802
dc50,random_forest,val,608,0.9778,0.9882,0.9161,0.9133,0.9485,0.9223,0.9352,0.817
dc50,random_forest,test,608,0.9736,0.9842,0.9062,0.9016,0.9381,0.9169,0.9274,0.7956
dc50,xgboost,train,2794,0.9928,0.9965,0.9517,0.9562,0.9845,0.9433,0.9635,0.894
dc50,xgboost,val,608,0.9745,0.9858,0.9046,0.9,0.9383,0.9148,0.9264,0.7915
dc50,xgboost,test,608,0.9726,0.9839,0.903,0.8979,0.9356,0.9144,0.9248,0.7884
dc50,majority_baseline,train,2794,,,0.6757,0.5,,,0.8065,
dc50,majority_baseline,val,608,,,0.6562,0.5,,,0.7925,
dc50,majority_baseline,test,608,,,0.653,0.5,,,0.79,
dmax,random_forest,train,2294,0.9843,0.9847,0.9289,0.9288,0.9216,0.9398,0.9306,0.858
dmax,random_forest,val,488,0.9576,0.9524,0.8893,0.8902,0.8544,0.9331,0.892,0.7822
dmax,random_forest,test,498,0.9646,0.959,0.8936,0.8947,0.8638,0.9062,0.8845,0.7867
dmax,xgboost,train,2294,0.9862,0.9864,0.9337,0.9336,0.9295,0.9407,0.935,0.8675
dmax,xgboost,val,488,0.9567,0.9503,0.8893,0.8902,0.8544,0.9331,0.892,0.7822
dmax,xgboost,test,498,0.9646,0.9609,0.8876,0.8888,0.8559,0.9018,0.8783,0.7748
dmax,majority_baseline,train,2294,,,0.507,0.5,,,0.6728,
dmax,majority_baseline,val,488,,,0.4898,0.5,,,0.6575,
dmax,majority_baseline,test,498,,,0.4498,0.5,,,0.6205,
