smiles,n_train_rows,n_test_rows,train_targets,test_targets,same_target_in_both,train_activity_values,test_activity_values,train_activity_mean,test_activity_mean,delta_activity_mean,abs_delta_activity_mean,train_Score_values,test_Score_values,train_Score_mean,test_Score_mean,delta_Score_mean,abs_delta_Score_mean
CC(=O)NC1=CC2=C(C=C1)C(=O)N(C1CCC(=O)NC1=O)C2=O,3,1,ZNF582; ZNF654; ZNF787,ZNF517,False,2; 2; 2,2,2.0,2.0,0.0,0.0,0.4; 0.4; 0.4,0.4,0.4000000000000001,0.4,-5.551115123125783e-17,5.551115123125783e-17
CC(C)(C)C(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,3,1,IKZF3Q147E; ZFP91; ZNF582,ZNF653,False,3; 3; 3,3,3.0,3.0,0.0,0.0,0.6; 0.6; 0.6,0.6,0.6,0.6,0.0,0.0
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(C1=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=CC=C1)CC2,1,3,ZNF582,IKZF3; PATZ1; ZKSC5,False,2,2; 2; 2,2.0,2.0,0.0,0.0,0.4,0.4; 0.4; 0.4,0.4,0.4000000000000001,5.551115123125783e-17,5.551115123125783e-17
CC(C)NC1=NNC2=C(CN3CCCC3)C=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)N=C12,1,1,CK1α,IKZF2,False,0,4,0.0,4.0,4.0,4.0,0.0,0.8,0.0,0.8,0.8,0.8
CC(C)NC1=NNC2=C(CN3CCCC3)C=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3F)N=C12,1,1,IKZF2,CK1α,False,5,2,5.0,2.0,-3.0,3.0,1.0,0.2,1.0,0.2,-0.8,0.8
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@@H](CC(=O)NC1=CC=C(OCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)N=N4)C=C1)N=C2C1=CC=C(Cl)C=C1,1,1,IKZF3,IKZF1,False,3,3,3.0,3.0,0.0,0.0,0.6,0.6,0.6,0.6,0.0,0.0
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCCCCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,3,1,GSPT1; ZNF276; ZNF827,ZNF654,False,0; 0; 0,0,0.0,0.0,0.0,0.0,0.0; 0.0; 0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,10,2,E4F1; IKZF3; IKZF3Q147E; PATZ1; ZFP91; ZNF276; ZNF582; ZNF654; ZNF787; ZNF827,ZNF517; ZNF653,False,0; 0; 0; 1; 0; 1; 0; 1; 1; 1,1; 1,0.5,1.0,0.5,0.5,0.0; 0.0; 0.0; 0.2; 0.0; 0.2; 0.0; 0.2; 0.2; 0.2,0.2; 0.2,0.1,0.2,0.1,0.1
CC1=C(C2CCN(CC(=O)N3CCN(C4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)CC3)CC2)C=C(OC(C)C)C(NC2=NC(NC3=CC=CC=C3S(=O)(=O)C(C)C)=C(Cl)C=N2)=C1,1,1,ZNF787,ZNF827,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C2CCN(CCCCC#CC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)C(=O)C4=C3)CC2)C=C(OC(C)C)C(NC2=NC(NC3=CC=CC=C3S(=O)(=O)C(C)C)=C(Cl)C=N2)=C1,5,1,PATZ1; SALL4; ZKSC5; ZNF653; ZNF827,ZNF582,False,0; 0; 0; 0; 0,0,0.0,0.0,0.0,0.0,0.0; 0.0; 0.0; 0.0; 0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C2CCN(CCN3CCN(C4=CC5=C(C=C4F)C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC2)C=C(OC(C)C)C(NC2=NC(NC3=CC=CC=C3S(=O)(=O)C(C)C)=C(Cl)C=N2)=C1,3,1,ZKSC5; ZNF582; ZNF827,IKZF3Q147E,False,0; 0; 0,0,0.0,0.0,0.0,0.0,0.0; 0.0; 0.0,0.0,0.0,0.0,0.0,0.0
