compound_id,canonical_smiles,target,e3_ligase,dc50_value_nM,dc50_operator,dc50_label,cell_line,assignee,source_patent,assay_id,assay_type,technology,qc_status
PGDB_C029577,C#CCN(C)C(=O)Nc1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C,VAV1,,1.1,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C029500,C#CCN(C)C(=O)Oc1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C,VAV1,,8.56,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C005466,C#CCNCCOCCc1ccc(NC(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl,GSPT1,,3.93,=,1,HEK293,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2025252247A1,PGDB_AS000196,% Degradation,,standardized
PGDB_C029438,C#Cc1c(-c2ccc(-c3c(C)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,2.13,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C029472,C#Cc1c(-c2ccc(-c3c(COC)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,2.79,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C032928,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)cc[nH]c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032908,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C033034,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(C4CC4)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032949,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(CC)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C033057,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)cc[nH]c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C033063,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032958,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(C4CC4)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032927,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(CC)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032962,C#Cc1c(-c2ccc(-n3c(-n4cccn4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C032876,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C033008,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1(F)CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032816,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032961,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1[C@@H]1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C033074,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1[C@H]1CCC(=O)NC1=O,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032825,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C029463,C#Cc1c(-c2ccc(-n3c(C(F)F)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,1.43,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C032842,C#Cc1c(-c2ccc(-n3c(C)c(C)c(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032939,C#Cc1c(-c2ccc(-n3c(C)c(C)c(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C032877,C#Cc1c(-c2ccc(-n3c(C)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032826,C#Cc1c(-c2ccc(-n3c(C)cc(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C029432,C#Cc1c(-c2ccc(-n3c(C)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,3.73,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C032776,C#Cc1c(-c2ccc(-n3c(C4CC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002600,% Degradation,luminescence,standardized
PGDB_C032784,C#Cc1c(-c2ccc(-n3c(C4CC4)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002600,% Degradation,luminescence,standardized
PGDB_C032785,C#Cc1c(-c2ccc(-n3c(C4CC4)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002600,% Degradation,luminescence,standardized
PGDB_C033036,C#Cc1c(-c2ccc(-n3c(C4CCCCC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032860,C#Cc1c(-c2ccc(-n3c(CC4CC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032880,C#Cc1c(-c2ccc(-n3c(CCC(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032923,C#Cc1c(-c2ccc(-n3c(CCC(F)(F)F)cc(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032851,C#Cc1c(-c2ccc(-n3c(CCC(F)(F)F)cc(OCC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C029445,C#Cc1c(-c2ccc(-n3c(CN(C)C)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,1.69,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C029433,C#Cc1c(-c2ccc(-n3c(CO)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,6.8,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C029464,C#Cc1c(-c2ccc(-n3c(COC)cccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,2.06,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C032873,C#Cc1c(-c2ccc(-n3c(N4CC5CC5C4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032853,C#Cc1c(-c2ccc(-n3c(N4CCCC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032862,C#Cc1c(-c2ccc(-n3c(N4CCOCC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C033015,C#Cc1c(-c2ccc(-n3c(OC4CC(F)(F)C4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C033007,C#Cc1c(-c2ccc(-n3c(OC4CC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032934,C#Cc1c(-c2ccc(-n3c(OC4CC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032950,C#Cc1c(-c2ccc(-n3c(OCC(F)(F)F)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032881,C#Cc1c(-c2ccc(-n3c(OCC(F)(F)F)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032878,C#Cc1c(-c2ccc(-n3c(OCC(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002605,% Degradation,luminescence,standardized
PGDB_C032971,C#Cc1c(-c2ccc(-n3c(OCCC(F)(F)F)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C033067,C#Cc1c(-c2ccc(-n3c(O[C@@H]4CCOC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002602,% Degradation,luminescence,standardized
PGDB_C032976,C#Cc1c(-c2ccc(-n3c(O[C@@H]4CCOC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C032907,C#Cc1c(-c2ccc(-n3c(O[C@H]4CCOC4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C033051,C#Cc1c(-c2ccc(-n3c(O[C@H]4CCOC4)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,10.0,<,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C029457,C#Cc1c(-c2ccc(-n3ccccc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,22.13,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C029480,C#Cc1c(-c2ccc(N3C(=O)COCC34CC4)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,5.04,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C032943,C#Cc1c(OC)cc(=O)n(-c2ccc(-c3cccc(N4CCC(=O)NC4=O)c3Cl)cc2)c1C,VAV1,,50.0,<=,1,Jurkat,,WO2026145172A1,PGDB_AS002614,% Degradation,luminescence,standardized
PGDB_C010779,C#Cc1c([C@@H]2C[C@H]3COC[C@@H](C2)N3C(=O)C=C)[nH]c2nnc(-c3ccccc3O)cc12,SMARCA2,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000900,% Degradation,luminescence,standardized
PGDB_C010779,C#Cc1c([C@@H]2C[C@H]3COC[C@@H](C2)N3C(=O)C=C)[nH]c2nnc(-c3ccccc3O)cc12,SMARCA4,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000431,% Degradation,luminescence,standardized
PGDB_C028713,C=C(C)C#Cc1cc(-c2nc(-c3ccc(-c4ccc5c(c4)n(C)c(=O)n5C4CCC(=O)NC4=O)cc3)n[nH]2)cc2c(Br)c(C(F)(F)P(=O)(O)O)sc12,PTPN1,,92.26,=,1,HCT116,Northridge Health Group Hong Kong,WO2026119184,PGDB_AS001836,% Degradation,,standardized
PGDB_C028714,C=C(C)C#Cc1cc(-c2nnc(-c3cc(C)n(-c4ccc5c(C6CCC(=O)NC6=O)nn(C)c5c4)c3C)[nH]2)cc2c(Br)c(C(F)(F)P(=O)(O)O)sc12,PTPN1,,37.29,=,1,HCT116,Northridge Health Group Hong Kong,WO2026119184,PGDB_AS001836,% Degradation,,standardized
PGDB_C010383,C=C(F)C(=O)N1CC(c2cc3cc(-c4ccccc4O)nnc3[nH]2)C1,SMARCA2,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000900,% Degradation,luminescence,standardized
PGDB_C010383,C=C(F)C(=O)N1CC(c2cc3cc(-c4ccccc4O)nnc3[nH]2)C1,SMARCA4,,5000.0,>,0,HeLa,Plexium,WO2025101944,PGDB_AS000431,% Degradation,luminescence,standardized
PGDB_C010564,C=C(F)C(=O)N1CCN(Cc2cc3cc(-c4ccccc4O)nnc3[nH]2)C[C@@H]1CC#N,SMARCA2,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000900,% Degradation,luminescence,standardized
PGDB_C010564,C=C(F)C(=O)N1CCN(Cc2cc3cc(-c4ccccc4O)nnc3[nH]2)C[C@@H]1CC#N,SMARCA4,,5000.0,>,0,HeLa,Plexium,WO2025101944,PGDB_AS000431,% Degradation,luminescence,standardized
PGDB_C033095,C=C1CC[C@H](N2Cc3c4c(cc(F)c3C2=O)C2(CCN(CC3CCN(c5ccc(C(=O)N[C@H]6CC[C@H](Oc7ccccc7Cl)CC6)cc5F)CC3)CC2)CO4)C(=O)N1,CSNK1A1,,1.0,<,1,HEK293,,WO2026139085A1,PGDB_AS002601,% Degradation,luminescence,standardized
PGDB_C029640,C=C1CN(C(=O)Nc2ccc(-c3cccc(C4CCC(=O)NC4=O)c3Cl)cc2C)C1,VAV1,,1.5,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS001440,% Degradation,luminescence,standardized
PGDB_C010385,C=CC(=O)N(C)C12CC(c3cc4cc(-c5ccccc5O)nnc4[nH]3)(C1)C2,SMARCA2,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000900,% Degradation,luminescence,standardized
PGDB_C010385,C=CC(=O)N(C)C12CC(c3cc4cc(-c5ccccc5O)nnc4[nH]3)(C1)C2,SMARCA4,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000431,% Degradation,luminescence,standardized
PGDB_C010410,C=CC(=O)N(C)C1CCN(C(=O)c2cc3cc(-c4ccccc4O)nnc3[nH]2)C1,SMARCA4,,5000.0,>,0,HeLa,Plexium,WO2025101944,PGDB_AS000431,% Degradation,luminescence,standardized
PGDB_C010458,C=CC(=O)N1C(c2cc3cc(-c4ccccc4O)nnc3[nH]2)C[C@@H]2C[C@@H]21,SMARCA2,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000900,% Degradation,luminescence,standardized
PGDB_C010458,C=CC(=O)N1C(c2cc3cc(-c4ccccc4O)nnc3[nH]2)C[C@@H]2C[C@@H]21,SMARCA4,,500.0,>=,0,HeLa,Plexium,WO2025101944,PGDB_AS000431,% Degradation,luminescence,standardized
