compound_id,canonical_smiles,target,e3_ligase,dmax_value_percent,dmax_operator,dmax_label,cell_line,assignee,source_patent,assay_id,assay_type,technology,qc_status
PGDB_C029577,C#CCN(C)C(=O)Nc1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C,VAV1,,98.9,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS000777,% Degradation,luminescence,standardized
PGDB_C029500,C#CCN(C)C(=O)Oc1ccc(-c2cccc(C3CCC(=O)NC3=O)c2Cl)cc1C,VAV1,,97.71,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS000777,% Degradation,luminescence,standardized
PGDB_C029438,C#Cc1c(-c2ccc(-c3c(C)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,94.13,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS000777,% Degradation,luminescence,standardized
PGDB_C029472,C#Cc1c(-c2ccc(-c3c(COC)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,93.6,=,1,,Shanghai Qilu Pharmaceutical Research And Development Centre,WO2026051943A1,PGDB_AS000777,% Degradation,luminescence,standardized
PGDB_C032928,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)cc[nH]c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C032908,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C033034,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(C4CC4)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C032949,C#Cc1c(-c2ccc(-c3c(OCC(F)(F)F)ccn(CC)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C033057,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)cc[nH]c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C033063,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(C)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C032958,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(C4CC4)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C032927,C#Cc1c(-c2ccc(-c3c(OCCC(F)(F)F)ccn(CC)c3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C032962,C#Cc1c(-c2ccc(-n3c(-n4cccn4)cc(C(F)(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,80.0,>=,1,Jurkat,,WO2026145172A1,PGDB_AS002599,% Degradation,luminescence,standardized
PGDB_C032876,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C(F)F)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002624,% Degradation,luminescence,standardized
PGDB_C033008,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1(F)CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002627,% Degradation,luminescence,standardized
PGDB_C032816,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002624,% Degradation,luminescence,standardized
PGDB_C032961,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1[C@@H]1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002624,% Degradation,luminescence,standardized
PGDB_C033074,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(C)cc3=O)cc2)cccc1[C@H]1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002624,% Degradation,luminescence,standardized
PGDB_C032825,C#Cc1c(-c2ccc(-n3c(C(F)(F)F)cc(OC)cc3=O)cc2)cccc1C1CCC(=O)NC1=O,VAV1,,90.0,>,1,Jurkat,,WO2026145172A1,PGDB_AS002624,% Degradation,luminescence,standardized
